item_name,date_deleted,date_raw_hebrew,category_emoji
"שמנת חמוצה",2025-12-20,"נמחק בתאריך 20.12.2025",🧀
"אשל",2025-12-20,"נמחק בתאריך 20.12.2025",🧀
"שמנת לבישול",2025-12-20,"נמחק בתאריך 20.12.2025",🧀
"יוגורטים",2025-12-20,"נמחק בתאריך 20.12.2025",🧀
"אפונה קפואה",2025-12-20,"נמחק בתאריך 20.12.2025",❄️
"שעועית קפואה",2025-12-20,"נמחק בתאריך 20.12.2025",❄️
"ביצים",2025-12-20,"נמחק בתאריך 20.12.2025",🥚
"דג סלמון בלי עור",2025-12-20,"נמחק בתאריך 20.12.2025",🌭
"עדשים כתומות",2025-12-17,"נמחק בתאריך 17.12.2025",🍚
"בורגול",2025-12-17,"נמחק בתאריך 17.12.2025",🍚
"פסטה",2025-12-17,"נמחק בתאריך 17.12.2025",🍝
"קמח",2025-12-17,"נמחק בתאריך 17.12.2025",🍰
"תה ליפטון",2025-12-17,"נמחק בתאריך 17.12.2025",☕
"גבינות",2025-12-17,"נמחק בתאריך 17.12.2025",🧀
"חזה עוף",2025-12-17,"נמחק בתאריך 17.12.2025",🥩
"עוף טחון",2025-12-17,"נמחק בתאריך 17.12.2025",🥩
"עגבניות מרוסקות",2025-12-17,"נמחק בתאריך 17.12.2025",🥫
"ביצין",2025-12-17,"נמחק בתאריך 17.12.2025",🥚
"שמן זית",2025-12-17,"נמחק בתאריך 17.12.2025",🍯
"מגבונים",2025-12-17,"נמחק בתאריך 17.12.2025",🧻
"בטטות",2025-12-17,"נמחק בתאריך 17.12.2025",🥬
"בצל",2025-12-17,"נמחק בתאריך 17.12.2025",🥬
"גזר",2025-12-17,"נמחק בתאריך 17.12.2025",🥬
"קישואים הרבה",2025-12-17,"נמחק בתאריך 17.12.2025",🥬
"שום",2025-12-17,"נמחק בתאריך 17.12.2025",🥬
"חציל",2025-12-17,"נמחק בתאריך 17.12.2025",🥬
"פטרוזיליה",2025-12-17,"נמחק בתאריך 17.12.2025",🥬
"סלרי",2025-12-17,"נמחק בתאריך 17.12.2025",🥬
"פלפלים",2025-12-17,"נמחק בתאריך 17.12.2025",🥬
"פטריות",2025-12-17,"נמחק בתאריך 17.12.2025",🥫
"יוגורטים",2025-12-17,"נמחק בתאריך 17.12.2025",🧀
"בטטות",2025-12-11,"נמחק בתאריך 11.12.2025",🥬
"חציל",2025-12-11,"נמחק בתאריך 11.12.2025",🥬
"ירקות",2025-12-11,"נמחק בתאריך 11.12.2025",🥬
"קישואים",2025-12-11,"נמחק בתאריך 11.12.2025",🥬
"שום",2025-12-11,"נמחק בתאריך 11.12.2025",🥬
"תפוח אדמה לאפיה",2025-12-11,"נמחק בתאריך 11.12.2025",🥬
"תפוח אדמה לבישול",2025-12-11,"נמחק בתאריך 11.12.2025",🥬
"פלפלים",2025-12-11,"נמחק בתאריך 11.12.2025",🥬
"פטרוזיליה",2025-12-11,"נמחק בתאריך 11.12.2025",🥬
"שמיר",2025-12-11,"נמחק בתאריך 11.12.2025",🥬
"שורש פטרוזיליה",2025-12-11,"נמחק בתאריך 11.12.2025",🥬
"לימון",2025-12-11,"נמחק בתאריך 11.12.2025",🥬
"פירות",2025-12-11,"נמחק בתאריך 11.12.2025",🍎
"דיאודרנט",2025-12-11,"נמחק בתאריך 11.12.2025",🛀
"נייר טואלט",2025-12-11,"נמחק בתאריך 11.12.2025",🧻
"עוף בלי עור מחולק למרק",2025-12-11,"נמחק בתאריך 11.12.2025",🥩
"שניצלים טריים וחצי",2025-12-11,"נמחק בתאריך 11.12.2025",🥩
"אורז יסמין",2025-12-11,"נמחק בתאריך 11.12.2025",🍚
"קרוטונים למרק",2025-12-11,"נמחק בתאריך 11.12.2025",🍝
"שוקולד",2025-12-11,"נמחק בתאריך 11.12.2025",🍫
"קפה",2025-12-11,"נמחק בתאריך 11.12.2025",☕
"נייר סופג",2025-12-11,"נמחק בתאריך 11.12.2025",🧻
"איטריות",2025-12-11,"נמחק בתאריך 11.12.2025",🍝
"לחמניות",2025-12-11,"נמחק בתאריך 11.12.2025",🥖
"יוגורטים",2025-12-11,"נמחק בתאריך 11.12.2025",🧀
"קוטג'",2025-12-11,"נמחק בתאריך 11.12.2025",🧀
"גבינה לבנה",2025-12-11,"נמחק בתאריך 11.12.2025",🧀
"גבינה צפתית",2025-12-11,"נמחק בתאריך 11.12.2025",🧀
"שעועית ירוקה קפואה",2025-12-11,"נמחק בתאריך 11.12.2025",❄️
"סלמון טרי",2025-12-11,"נמחק בתאריך 11.12.2025",🐟
"גבינה גאודה",2025-12-11,"נמחק בתאריך 11.12.2025",🧀
